"Date","Price","Open","High","Low","Vol.","Change %"
"08/04/2022","3,189.04","3,179.43","3,191.00","3,155.70","26.09B","0.80%"
"08/03/2022","3,163.67","3,188.89","3,217.55","3,159.46","32.49B","-0.71%"
"08/02/2022","3,186.27","3,231.26","3,231.26","3,155.19","39.42B","-2.26%"
"08/01/2022","3,259.96","3,246.62","3,264.30","3,225.55","29.22B","0.21%"
"07/29/2022","3,253.24","3,282.81","3,294.80","3,246.37","30.73B","-0.89%"
"07/28/2022","3,282.58","3,287.50","3,305.71","3,277.11","28.81B","0.21%"
"07/27/2022","3,275.76","3,271.78","3,282.57","3,265.73","24.91B","-0.05%"
"07/26/2022","3,277.44","3,254.19","3,282.41","3,246.04","25.95B","0.83%"
"07/25/2022","3,250.39","3,269.71","3,273.18","3,243.03","27.12B","-0.60%"
"07/22/2022","3,269.97","3,276.20","3,293.64","3,246.73","30.07B","-0.06%"
"07/21/2022","3,272.00","3,297.66","3,300.53","3,272.00","33.24B","-0.99%"
"07/20/2022","3,304.72","3,291.55","3,308.35","3,287.74","30.15B","0.77%"
"07/19/2022","3,279.43","3,278.72","3,283.93","3,256.02","31.57B","0.04%"
"07/18/2022","3,278.10","3,235.09","3,278.47","3,226.23","34.83B","1.55%"
"07/15/2022","3,228.06","3,261.38","3,288.92","3,228.06","38.02B","-1.64%"
"07/14/2022","3,281.74","3,277.45","3,299.25","3,261.49","35.59B","-0.08%"
"07/13/2022","3,284.29","3,279.60","3,297.02","3,266.48","33.18B","0.09%"
"07/12/2022","3,281.47","3,307.22","3,319.25","3,277.08","33.46B","-0.97%"
"07/11/2022","3,313.58","3,341.10","3,341.10","3,297.00","34.27B","-1.27%"
"07/08/2022","3,356.08","3,380.37","3,386.31","3,354.12","32.29B","-0.25%"
"07/07/2022","3,364.40","3,353.13","3,375.86","3,332.31","33.44B","0.27%"
"07/06/2022","3,355.35","3,391.03","3,391.03","3,333.10","38.46B","-1.43%"
"07/05/2022","3,404.03","3,411.13","3,424.84","3,372.06","41.17B","-0.04%"
"07/04/2022","3,405.43","3,381.82","3,405.62","3,364.09","35.77B","0.53%"
"07/01/2022","3,387.64","3,400.26","3,404.05","3,378.36","35.05B","-0.32%"
"06/30/2022","3,398.62","3,358.93","3,417.01","3,358.93","38.12B","1.10%"
"06/29/2022","3,361.52","3,399.68","3,414.65","3,358.47","44.06B","-1.40%"
"06/28/2022","3,409.21","3,377.68","3,412.10","3,358.87","41.21B","0.89%"
"06/27/2022","3,379.19","3,364.00","3,393.31","3,364.00","41.41B","0.88%"
"06/24/2022","3,349.75","3,324.74","3,356.71","3,322.95","39.08B","0.89%"
"06/23/2022","3,320.15","3,269.05","3,320.15","3,262.29","40.06B","1.62%"
"06/22/2022","3,267.20","3,309.12","3,311.02","3,266.54","37.55B","-1.20%"
"06/21/2022","3,306.72","3,313.79","3,329.39","3,279.83","39.45B","-0.26%"
"06/20/2022","3,315.43","3,315.78","3,333.90","3,292.93","41.35B","-0.04%"
"06/17/2022","3,316.79","3,265.51","3,323.28","3,262.89","39.53B","0.96%"
"06/16/2022","3,285.38","3,306.84","3,319.69","3,277.53","43.32B","-0.61%"
"06/15/2022","3,305.41","3,289.10","3,358.55","3,288.85","55.06B","0.50%"
"06/14/2022","3,288.91","3,224.21","3,289.13","3,195.82","45.04B","1.02%"
"06/13/2022","3,255.55","3,256.27","3,272.99","3,229.31","43.86B","-0.89%"
"06/10/2022","3,284.83","3,214.18","3,286.62","3,210.81","43.99B","1.42%"
"06/09/2022","3,238.95","3,259.49","3,270.56","3,223.48","42.27B","-0.76%"
"06/08/2022","3,263.79","3,245.02","3,266.63","3,216.01","43.42B","0.68%"
"06/07/2022","3,241.76","3,235.42","3,253.09","3,222.64","40.22B","0.17%"
"06/06/2022","3,236.37","3,196.96","3,237.07","3,181.65","42.20B","1.28%"
"06/02/2022","3,195.46","3,170.31","3,197.28","3,163.76","36.18B","0.42%"
"06/01/2022","3,182.16","3,179.69","3,190.61","3,160.04","36.57B","-0.13%"
"05/31/2022","3,186.43","3,149.94","3,188.60","3,142.00","37.45B","1.19%"
"05/30/2022","3,149.06","3,141.96","3,150.89","3,123.15","34.94B","0.60%"
"05/27/2022","3,130.24","3,135.03","3,151.05","3,112.54","35.95B","0.23%"
"05/26/2022","3,123.11","3,111.48","3,133.28","3,079.48","37.03B","0.50%"
"05/25/2022","3,107.46","3,070.17","3,107.63","3,069.95","34.23B","1.19%"
"05/24/2022","3,070.93","3,149.06","3,153.13","3,070.93","41.63B","-2.41%"
"05/23/2022","3,146.86","3,150.49","3,150.51","3,127.90","35.34B","0.01%"
"05/20/2022","3,146.57","3,107.09","3,146.57","3,107.09","37.23B","1.60%"
"05/19/2022","3,096.96","3,046.71","3,096.96","3,042.67","33.66B","0.36%"
"05/18/2022","3,085.98","3,095.89","3,105.84","3,071.30","31.50B","-0.25%"
"05/17/2022","3,093.70","3,076.50","3,093.70","3,057.64","33.04B","0.65%"
"05/16/2022","3,073.75","3,100.55","3,102.58","3,063.40","33.81B","-0.34%"
"05/13/2022","3,084.28","3,068.03","3,086.10","3,059.25","33.17B","0.96%"
"05/12/2022","3,054.99","3,044.80","3,072.16","3,032.95","34.44B","-0.12%"
"05/11/2022","3,058.70","3,035.39","3,100.90","3,034.67","42.40B","0.75%"
"05/10/2022","3,035.84","2,965.78","3,043.78","2,957.40","37.07B","1.06%"
"05/09/2022","3,004.14","2,990.20","3,015.94","2,983.61","29.21B","0.09%"
"05/06/2022","3,001.56","3,011.32","3,030.69","2,992.72","34.33B","-2.16%"
"05/05/2022","3,067.76","3,044.85","3,082.23","3,042.12","38.31B","0.68%"
"04/29/2022","3,047.06","2,986.06","3,048.49","2,968.33","42.39B","2.41%"
"04/28/2022","2,975.48","2,945.81","2,991.51","2,936.79","37.54B","0.58%"
"04/27/2022","2,958.28","2,866.82","2,959.18","2,863.65","42.31B","2.49%"
"04/26/2022","2,886.43","2,930.45","2,957.68","2,878.26","40.16B","-1.44%"
"04/25/2022","2,928.51","3,034.27","3,043.82","2,928.51","43.36B","-5.13%"
"04/22/2022","3,086.92","3,058.40","3,105.66","3,049.36","34.20B","0.23%"
"04/21/2022","3,079.81","3,138.43","3,160.90","3,069.68","39.19B","-2.26%"
"04/20/2022","3,151.05","3,189.89","3,191.83","3,142.05","36.20B","-1.35%"
"04/19/2022","3,194.03","3,192.09","3,207.83","3,174.71","33.99B","-0.05%"
"04/18/2022","3,195.52","3,185.94","3,204.03","3,166.98","34.74B","-0.49%"
"04/15/2022","3,211.24","3,210.70","3,229.87","3,200.13","40.78B","-0.45%"
"04/14/2022","3,225.64","3,203.63","3,240.00","3,200.23","37.12B","1.22%"
"04/13/2022","3,186.82","3,199.80","3,225.47","3,183.53","39.12B","-0.82%"
"04/12/2022","3,213.33","3,165.12","3,214.54","3,140.90","41.83B","1.46%"
"04/11/2022","3,167.13","3,239.85","3,239.85","3,156.51","42.42B","-2.61%"
"04/08/2022","3,251.85","3,239.88","3,257.09","3,208.35","41.38B","0.47%"
"04/07/2022","3,236.70","3,267.81","3,290.26","3,236.48","40.26B","-1.42%"
"04/06/2022","3,283.43","3,269.43","3,288.11","3,255.69","42.96B","0.02%"
"04/01/2022","3,282.72","3,234.67","3,287.23","3,226.30","37.82B","0.94%"
"03/31/2022","3,252.20","3,256.14","3,272.04","3,246.06","39.84B","-0.44%"
"03/30/2022","3,266.60","3,217.59","3,266.60","3,216.30","36.68B","1.96%"
"03/29/2022","3,203.94","3,216.01","3,229.18","3,196.46","31.63B","-0.33%"
"03/28/2022","3,214.50","3,185.17","3,230.22","3,159.83","34.50B","0.07%"
"03/25/2022","3,212.24","3,247.16","3,257.11","3,211.64","34.00B","-1.17%"
"03/24/2022","3,250.26","3,256.06","3,266.89","3,236.66","32.90B","-0.63%"
"03/23/2022","3,271.03","3,264.79","3,279.89","3,251.98","34.99B","0.34%"
"03/22/2022","3,259.86","3,249.54","3,279.11","3,239.53","36.12B","0.19%"
"03/21/2022","3,253.69","3,255.62","3,267.50","3,223.39","35.42B","0.08%"
"03/18/2022","3,251.07","3,207.15","3,260.78","3,197.36","37.30B","1.12%"
"03/17/2022","3,215.04","3,215.01","3,260.17","3,202.93","42.08B","1.40%"
"03/16/2022","3,170.71","3,107.67","3,177.79","3,023.30","44.47B","3.48%"
"03/15/2022","3,063.97","3,192.36","3,196.92","3,063.97","46.50B","-4.95%"
"03/14/2022","3,223.53","3,271.89","3,297.80","3,223.53","33.80B","-2.60%"
"03/11/2022","3,309.75","3,259.32","3,315.66","3,217.42","38.41B","0.41%"
"03/10/2022","3,296.09","3,312.18","3,326.58","3,291.24","37.83B","1.22%"
"03/09/2022","3,256.39","3,303.71","3,321.48","3,147.68","46.63B","-1.13%"
"03/08/2022","3,293.53","3,372.55","3,383.63","3,287.34","41.59B","-2.35%"
"03/07/2022","3,372.86","3,438.56","3,438.56","3,360.74","39.36B","-2.17%"
"03/04/2022","3,447.65","3,459.98","3,474.88","3,437.70","39.35B","-0.96%"
"03/03/2022","3,481.11","3,495.93","3,500.29","3,473.34","41.26B","-0.09%"
"03/02/2022","3,484.19","3,478.29","3,486.62","3,467.00","32.94B","-0.13%"
"03/01/2022","3,488.83","3,471.36","3,491.13","3,465.72","32.60B","0.77%"
